,Channel_name,Subscribers_Count,Total_Views_Count,Total_Videos,DateStarted,playlist_id
0,CarryMinati,35900000,2913284914,178,2014-10-30,UUj22tfcQrWG7EMEKS0qLeEg
1,BB Ki Vines,25500000,4317403367,185,2015-06-20,UUqwUrj10mAEsqezcItqvwEw
2,Amit Bhadana,24000000,2222959514,92,2012-10-24,UU_vcKmg67vjMP7ciLnSxSHQ
3,MostlySane,6670000,1096427000,994,2015-02-10,UUvCyIiKSCA1fHKSCOKJyjXA
4,Technical Guruji,22100000,3015008053,4517,2015-10-19,UUOhHO2ICt0ti9KAh-QHvttQ
5,Trakin Tech,11800000,1721984687,3223,2011-11-02,UUEPL07qzVsOcHd3sMUws65g
6,Amit Bhawani,885000,160600617,3175,2011-02-26,UUFzyeVLrv5xzn2iTjnjaNTw
7,Telugu TechTuts,1570000,169874786,3118,2011-10-28,UUBStUF8ywTtgCvkpYVvi1YQ
8,C4ETech English,1810000,415811414,3051,2007-03-20,UUlVIlK8QHZ2PFkXF97bA0lg
9,Tech Burner,8690000,1188938937,933,2014-09-26,UUXUJJNoP1QupwsYIWFXmsZg
10,Beebom,2300000,357558771,770,2016-02-09,UUvpfclapgcuJo0M_x65pfRw
11,Sanjeev Kapoor Khazana ,7010000,1350024170,12325,2009-07-29,UUmoX4QULJ9MB00xW4coMiOw
12,NishaMadhulika,12700000,2595385107,1912,2009-08-02,UUgoxyzvouZM-tCgsYzrYtyg
13,CookingShooking,4430000,597743756,617,2012-06-23,UUfwHP1M0AFSPqTdjzXhV0Zg
14,Shruti Arjun Anand,9900000,2198423356,617,2010-01-22,UUIsotCCdTjStPCLyD9iBCCQ
15,ashish chanchlani vines,28300000,3987308705,147,2009-07-06,UU7eHZXheF8nVOfwB2PEslMw
